name,facebook_url
Karine Claireaux,https://www.facebook.com/karine.claireaux
Frédérique Macarez,https://www.facebook.com/frederique.macarez.3
François Pupponi,https://www.facebook.com/Pupponi
Marie-Louise Fort,
François Commeinhes,https://www.facebook.com/commeinhes
Azzedine Taïbi,https://www.facebook.com/azzedine.taibi.stains
Roland Ries,https://www.facebook.com/roland.ries.strasbourg
Alain Cazabonne,https://www.facebook.com/cazabonne
Gérard Trémège,https://www.facebook.com/gerard.tremege/
Pierre Cuny,https://www.facebook.com/pierre.cuny.3
Hubert Falco,https://www.facebook.com/hubertfalco/
Jean-Luc Moudenc,https://www.facebook.com/jlmoudenc/
Gérald Darmanin,https://www.facebook.com/gerald.darmanin/
Serge Babary,https://www.facebook.com/SergeBabary37/
François Baroin,https://www.facebook.com/baroin/
Bernard Combes,https://www.facebook.com/bernard.combes.562
Nicolas Daragon,https://www.facebook.com/nicolas.daragon.9/
Laurent Degallaix,https://www.facebook.com/Laurent-Degallaix-616330788404860/
David Robo,https://www.facebook.com/David-Robo-585581858175083/
Hélène Geoffroy,
Michèle Picard,https://www.facebook.com/michele.picard.142
François de Mazières,https://www.facebook.com/FrancoisDeMazieres/
Alain Chrétien,https://www.facebook.com/alain.chretien
Claude Malhuret,https://www.facebook.com/ClaudeMalhuret/
Bernard Perrut,https://www.facebook.com/bernardperrut1/
Jean-Paul Bret,https://www.facebook.com/Jean-Paul-Bret-175445489561162/
